question,answer,keywords
태양광 패널 성능 예측은 실제 발전량과 비교 방법,"예측 모델의 출력(P_pred)과 실제 발전량(P_actual)을 동일 기간으로 정규화한 뒤 PR(Performance Ratio) 또는 MAPE로 비교합니다. PR=실제발전량/(이론발전량)×100, MAPE=평균(|P_actual-P_pred|/P_actual)×100 입니다.",PR;MAPE;태양광;패널;성능;예측은;실제;발전량과
패널 오염·파손 판단 기준,이미지 모델이 이물·음영·크랙·황변 등을 분류/세그멘테이션하고 가중 합으로 오염지수(score)를 계산합니다. 임계치를 넘으면 세척/점검을 권고합니다.,패널;오염도;파손도는;어떻게;판단하나요;오염;파손;판단
패널 예상 수명 산정 방법,열화율(%/년) 추정과 보증곡선을 조합해 정격 대비 출력이 임계치(예: 80%)에 도달하는 시점을 예측합니다. 현장 온도/일사량/열화 이력에 따라 갱신됩니다.,패널;예상;수명은;어떻게;산정하나요;수명;산정;방법
폐패널이란?,"""폐패널은 태양광 모듈의 수명이 다하거나 손상되어 더 이상 사용하지 못하는 패널을 의미합니다.""",폐패널이란;폐패널은;태양광;모듈의;수명이;다하거나;손상되어;이상
태양광 폐패널이란 무엇인가요?,"""폐패널은 설치 후 일정 기간이 지나 효율이 크게 떨어지거나 파손된 태양광 모듈을 말합니다.""",태양광;폐패널이란;무엇인가요;폐패널은;설치;일정;기간이;지나
폐패널이 뭔 뜻이에요?,"""태양광 패널이 수명을 다해 발전 효율이 현저히 낮아진 상태의 모듈을 폐패널이라고 부릅니다.""",폐패널이;뜻이에요;태양광;패널이;수명을;다해;발전;효율이
태양광 폐패널 정의가 뭐에요?,"""폐패널은 설치 후 일정 기간이 지나 효율이 크게 떨어지거나 파손된 태양광 모듈을 말합니다.""",태양광;폐패널;정의가;뭐에요;폐패널은;설치;일정;기간이
폐패널을 쉽게 설명하면?,"""폐패널은 태양광 모듈의 수명이 다하거나 손상되어 더 이상 사용하지 못하는 패널을 의미합니다.""",폐패널을;쉽게;설명하면;폐패널은;태양광;모듈의;수명이;다하거나
폐패널은 왜 관리해야 하나요?,"""폐패널은 중금속 등 유해 물질을 포함할 수 있어 적절한 수거 및 재활용이 필요합니다.""",폐패널은;관리해야;하나요;중금속;유해;물질을;포함할;있어
폐패널 관리가 중요한 이유는?,"""환경 오염 방지와 자원 재활용을 위해 폐패널을 체계적으로 관리해야 합니다.""",폐패널;관리가;중요한;이유는;환경;오염;방지와;자원
폐패널을 방치하면 어떤 문제가 생기나요?,"""중금속 누출과 환경오염이 발생할 수 있으며, 자원 낭비로 이어집니다.""",폐패널을;방치하면;어떤;문제가;생기나요;중금속;누출과;환경오염이
폐패널 관리 목적은 무엇인가요?,"환경 보호와 자원 재활용, 법적 규제 준수를 위해 관리합니다.",폐패널;관리;목적은;무엇인가요;환경;보호와;자원;재활용
폐패널은 어떻게 수거하나요?,"""플랫폼을 통해 수거 요청을 등록하면 제휴된 수거 업체가 지정된 날짜에 방문하여 회수합니다. 수거 요청 → 일정 조율 → 현장 방문 수거 → 처리 절차 순으로 진행됩니다.""",폐패널은;어떻게;수거하나요;플랫폼을;통해;수거;요청을;등록하면
폐패널 수거 절차는?,"""플랫폼을 통해 수거 요청을 등록하면 제휴된 수거 업체가 지정된 날짜에 방문하여 회수합니다. 수거 요청 → 일정 조율 → 현장 방문 수거 → 처리 절차 순으로 진행됩니다.""",폐패널;수거;절차는;플랫폼을;통해;요청을;등록하면;제휴된
폐패널을 요청하면 누가 수거하나요?,"""플랫폼을 통해 수거 요청을 등록하면 제휴된 수거 업체가 지정된 날짜에 방문하여 회수합니다.""",폐패널을;요청하면;누가;수거하나요;플랫폼을;통해;수거;요청을
폐패널은 어디에 맡겨야,"""허가받은 폐기물 처리 업체에 맡겨야 합니다. 플랫폼을 통해 수거 요청을 등록하면 제휴된 수거 업체가 지정된 날짜에 방문하여 회수합니다.""",폐패널은;어디에;맡겨야;하나요;허가받은;폐기물;처리;업체에
패널 수거 요청은 어디에 하나요?,"""플랫폼을 통해 수거 요청을 등록하면 제휴된 수거 업체가 지정된 날짜에 방문하여 회수합니다.""",패널;수거;요청은;어디에;하나요;플랫폼을;통해;요청을
수거 후 패널은 어떻게 처리되나요?,"""수거된 패널은 AI 분석을 통해 상태를 분류한 뒤, 수리·재사용·재활용 또는 폐기 처리를 진행합니다.""",AI;수거;패널은;어떻게;처리되나요;수거된;분석을;통해
폐패널은 처리 과정이 어떻게 돼요,"""수거된 패널은 AI 분석을 통해 상태를 분류한 뒤, 수리·재사용·재활용 또는 폐기 처리를 진행합니다.""",AI;폐패널은;처리;과정이;어떻게;돼요;수거된;패널은
폐패널 처리 방식은?,"""수거된 패널은 AI 이미지 분석을 통해 상태를 분류한 뒤, 수리·재사용·재활용 또는 폐기 처리를 진행합니다.""",AI;폐패널;처리;방식은;수거된;패널은;이미지;분석을
AI는 어떤 방식으로 상태를 분류하나요?,"""AI는 이미지 분석 및 발전량 데이터를 활용하여 패널의 오염, 손상 여부, 성능 저하 정도를 분류합니다.""",AI;어떤;방식으로;상태를;분류하나요;이미지;분석;발전량
AI가 패널 상태를 어떻게 평가하나요?,"""AI는 이미지 분석 및 센서 데이터를 활용하여 패널의 오염, 손상 여부, 성능 저하 정도를 분류합니다.""",AI;패널;상태를;어떻게;평가하나요;이미지;분석;센서
AI로 패널 상태를 자동 분석할 수 있나요?,"""네, 가능합니다. AI는 이미지 분석 및 발전량 데이터를 활용하여 패널의 오염, 손상 여부, 성능 저하 정도를 분류합니다.""",AI;패널;상태를;자동;분석할;있나요;가능합니다;이미지
교체해야 할 패널은 자동으로 알림이 오나요?,"""네, 플랫폼은 발전량 데이터 등을 분석해 성능 저하가 의심되는 패널에 대해 교체 알림을 보냅니다.""",교체해야;패널은;자동으로;알림이;오나요;플랫폼은;발전량;데이터
패널 교체 시기가 되면 알려주나요?,"""네, 플랫폼은 발전량 데이터 등을 분석해 성능 저하가 의심되는 패널에 대해 교체 알림을 보냅니다.""",패널;교체;시기가;되면;알려주나요;플랫폼은;발전량;데이터
자동 알림 기능이 있나요?,"""네, 플랫폼은 발전량 데이터 등을 분석해 성능 저하가 의심되는 패널에 대해 교체 알림을 보냅니다.""",자동;알림;기능이;있나요;플랫폼은;발전량;데이터;등을
예산 예측 리포트는 어떤 내용을 포함하나요?,"""연도별 교체 예상 수량, 수리 수량, 총 지출, 재활용 환급액, 순 지출 등이 포함됩니다.""",예산;예측;리포트는;어떤;내용을;포함하나요;연도별;교체
예산 리포트에는 무엇이 있나요?,"""연도별 교체 예상 수량, 수리 수량, 총 지출, 재활용 환급액, 순 지출 등이 포함됩니다.""",예산;리포트에는;무엇이;있나요;연도별;교체;예상;수량
예산 보고서에 들어가는 항목은?,"""연도별 교체 예상 수량, 수리 수량, 총 지출, 재활용 환급액, 순 지출 등이 포함됩니다.""",예산;보고서에;들어가는;항목은;연도별;교체;예상;수량
AI가 발전량을 예측하는 기준은 무엇인가요?,"""일사량, 온도, 지역별 평균 발전량, 패널 사양 등을 기반으로 발전량 예측 모델을 구성합니다.""",AI;발전량을;예측하는;기준은;무엇인가요;일사량;온도;지역별
발전량 예측은 어떻게 하나요?,"""일사량, 온도, 지역별 평균 발전량, 패널 사양 등을 기반으로 발전량 예측 모델을 구성합니다.""",발전량;예측은;어떻게;하나요;일사량;온도;지역별;평균
발전량 예측 방식은?,"""일사량, 온도, 지역별 평균 발전량, 패널 사양 등을 기반으로 발전량 예측 모델을 구성합니다.""",발전량;예측;방식은;일사량;온도;지역별;평균;패널
EPR 보고서는 자동으로 생성되나요?,"""패널 수거 및 처리 내역을 바탕으로 EPR 보고서가 자동 생성되어 다운로드 가능합니다.""",EPR;보고서는;자동으로;생성되나요;패널;수거;처리;내역을
EPR 보고서 발행 방법은?,"""패널 수거 및 처리 내역을 바탕으로 EPR 보고서가 자동 생성되어 다운로드 가능합니다.""",EPR;보고서;발행;방법은;패널;수거;처리;내역을
EPR 보고서를 어떻게 만들어요?,"""패널 수거 및 처리 내역을 바탕으로 EPR 보고서가 자동 생성되어 다운로드 가능합니다.""",EPR;보고서를;어떻게;만들어요;패널;수거;처리;내역을
발전량 비교는 어떻게 이루어지나요?,"""실제 발전량과 예상 발전량을 비교하여 성능 저하 여부를 판단합니다. 일반적으로 예측량 대비 실제 발전량이 20% 이상 감소했을 때 성능 저하로 판단합니다..""",발전량;비교는;어떻게;이루어지나요;실제;발전량과;예상;발전량을
발전 성능 비교 방법은?,"""실제 발전량과 예상 발전량을 비교하여 성능 저하 여부를 판단합니다. 일반적으로 예측량 대비 실제 발전량이 20% 이상 감소했을 때 성능 저하로 판단합니다..""",발전;성능;비교;방법은;실제;발전량과;예상;발전량을
발전 효율 비교는 어떻게 하나요?,"""실제 발전량과 예상 발전량을 비교하여 성능 저하 여부를 판단합니다. 일반적으로 예측량 대비 실제 발전량이 20% 이상 감소했을 때 성능 저하로 판단합니다..""",발전;효율;비교는;어떻게;하나요;실제;발전량과;예상
플랫폼에서 어떤 기업들이 참여할 수 있나요?,"""태양광 발전소 운영사, 시공 업체, 모듈 제조사, 폐기물 처리 업체 등 다양한 B2B 기업들이 참여할 수 있습니다.""",플랫폼에서;어떤;기업들이;참여할;있나요;태양광;발전소;운영사
참여 가능한 기업 유형은?,"""태양광 발전소 운영사, 시공 업체, 모듈 제조사, 폐기물 처리 업체 등 다양한 B2B 기업들이 참여할 수 있습니다.""",참여;가능한;기업;유형은;태양광;발전소;운영사;시공
이 플랫폼은 누가 이용하나요?,"""B2B 태양광 관련 기업이 주로 이용하며, 태양광 발전소 운영사, 시공 업체, 모듈 제조사, 폐기물 처리 업체 등 다양한 B2B 기업들이 참여할 수 있습니다.""",플랫폼은;누가;이용하나요;B;태양광;관련;기업이;주로
패널의 상태 분류는 어떤 기준으로 하나요?,"""오염, 손상, 성능 저하 여부에 따라 수리, 재사용, 재활용, 폐기 등으로 분류됩니다.""",패널의;상태;분류는;어떤;기준으로;하나요;오염;손상
패널 상태 기준은?,"""오염, 손상, 성능 저하 여부에 따라 수리, 재사용, 재활용, 폐기 등으로 분류됩니다.""",패널;상태;기준은;오염;손상;성능;저하;여부에
패널 상태를 나누는 기준은 무엇인가요?,"""오염, 손상, 성능 저하 여부에 따라 수리, 재사용, 재활용, 폐기 등으로 분류됩니다.""",패널;상태를;나누는;기준은;무엇인가요;오염;손상;성능
이 플랫폼은 EPR 대응 외에 어떤 장점이 있나요?,"""기업 ESG 경영 지원, 비용 예측 리포트, 탄소 감축 보고서 제공 등입니다.""",EPR;ESG;플랫폼은;대응;외에;어떤;장점이;있나요
EPR 말고 다른 기능은?,"""EPR 외에도 ESG, 탄소 절감, 예산 관리 기능이 있습니다.""",EPR;ESG;말고;다른;기능은;외에도;탄소;절감
이 플랫폼의 추가 장점은?,"""기업 ESG 경영을 지원하고, 비용 예측 리포트, 탄소 감축 리포트 등 보고 기능도 제공합니다.""",ESG;플랫폼의;추가;장점은;기업;경영을;지원하고;비용
AI가 예측하는 패널의 잔여 수명은 어떻게 산출되나요?,"""성능 저하율, 설치 연도, 지역 기후, 발전량 데이터를 종합 분석해 추정합니다.""",AI;예측하는;패널의;잔여;수명은;어떻게;산출되나요;성능
잔여 수명 예측 방법은?,"""성능 저하율, 설치 연도, 지역 기후, 발전량 데이터를 종합 분석해 추정합니다.""",잔여;수명;예측;방법은;성능;저하율;설치;연도
패널 수명 예측 기준은?,"""성능 저하율, 설치 연도, 지역 기후, 발전량 데이터를 종합 분석해 추정합니다.""",패널;수명;예측;기준은;성능;저하율;설치;연도
패널 교체 주기는 일반적으로 얼마인가요?,"""일반적으로 패널은 20~25년마다 교체하며, 성능 저하 시 더 빨리 교체할 수 있습니다. 한화 큐셀의 패널의 보증기간은 최대 25년에서 30년입니다.""",패널;교체;주기는;일반적으로;얼마인가요;패널은;20;25
태양광 패널은 몇 년마다 바꾸나요?,"""일반적으로 패널은 20~25년마다 교체하며, 성능 저하 시 더 빨리 교체할 수 있습니다. 한화 큐셀의 패널의 보증기간은 최대 25년에서 30년입니다.""",태양광;패널은;년마다;바꾸나요;일반적으로;20;25;교체하며
